Dataset,study,Subject,FD1,SD1,UP1,FW1,FD2,SD2,UP2,FW2,FD3,SD3,UP3,FW3,FD4,SD4,UP4,FW4,FD5,SD5,UP5,UP6,FW5,SD6,FW6,SD7,UP7,FW7,UP8,gender,age
,,,1,4,2,7,1,5,5,5,1,1,4,4,1,2,4,5,1,4,5,1,4,3,4,2,2,4,5,2,14
,,,1,2,3,8,1,2,5,5,1,1,5,3,1,4,4,5,1,5,5,1,5,3,5,3,3,4,5,1,20
,,,1,5,4,7,1,4,4,4,1,1,4,2,1,2,4,4,1,2,4,5,4,1,4,2,5,4,5,2,9
,,,4,4,4,1,4,2,5,4,2,2,4,2,4,2,4,4,2,4,4,5,5,4,5,4,2,2,2,2,16
,,,2,3,3,5,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,2,4,3,2,3,2,14
,,,1,2,1,7,1,1,3,5,1,1,3,4,1,3,4,4,1,4,2,2,4,2,4,1,1,4,3,1,13
,,,2,3,4,7,2,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,5,2,4,2,4,4,4,2,10
,,,3,4,5,7,2,1,4,4,3,2,5,4,4,4,5,2,4,4,5,4,2,4,2,5,3,4,2,1,16
,,,2,2,2,5,2,1,3,4,2,1,3,3,2,3,3,5,3,4,3,2,4,1,3,3,2,4,4,1,19
,,,1,4,4,7,1,4,4,5,1,4,4,5,1,4,5,5,1,5,4,5,2,3,5,3,4,5,5,1,10
,,,2,3,2,7,2,2,4,4,2,2,3,4,2,3,3,4,2,3,3,2,4,3,4,3,2,4,4,2,18
,,,3,4,4,7,4,3,4,4,3,3,4,4,4,4,4,2,3,3,3,4,3,4,3,4,4,4,4,1,19
,,,5,5,2,8,4,3,2,5,5,5,2,2,5,2,2,5,5,5,1,2,1,3,5,2,2,2,2,1,18
,,,4,2,4,3,2,4,2,4,2,2,2,4,1,4,2,3,4,2,2,3,4,4,3,4,2,5,2,2,12
,,,3,4,3,7,3,2,4,4,3,3,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4,4,4,1,30
,,,1,2,2,7,1,1,2,5,1,1,1,5,1,1,3,5,2,2,1,2,5,1,5,1,2,4,3,1,31
,,,2,4,3,7,1,3,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,3,4,4,4,1,25
,,,2,2,2,7,1,4,4,4,2,2,3,4,1,3,2,4,2,3,2,2,4,2,3,2,2,4,4,1,22
,,,2,2,2,7,2,2,4,4,2,2,4,5,2,4,4,2,2,4,4,2,4,4,4,2,2,4,4,2,20
,,,3,3,2,5,4,3,2,4,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3,2,12
,,,2,1,2,3,2,1,2,3,2,1,1,2,1,4,2,1,2,2,2,4,2,3,1,4,2,1,3,1,12
,,,4,5,5,8,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,1,13
,,,1,4,1,8,1,3,3,5,1,1,2,3,1,3,3,5,1,3,3,2,5,2,5,2,2,4,5,1,25
