Gender,Age,FatalDeterm1,ScienceDeterm1,Unpredict1,FreeWill1,FatalDeterm2,ScienceDeterm2,Unpredict2,FreeWill2,FatalDeterm3,ScienceDeterm3,Unpredict3,FreeWill3,FatalDeterm4,ScienceDeterm4,Unpredict4,FreeWill4,FatalDeterm5,ScienceDeterm5,Unpredict5,Unpredict6,FreeWill5,ScienceDeterm6,FreeWill6,ScienceDeterm7,Unpredict7,FreeWill7,Unpredict8
1,20,1,3,3,3,1,2,3,4,1,3,3,2,1,3,4,3,1,2,2,4,4,4,4,4,3,4,4
2,18,3,4,2,2,2,1,5,5,2,2,4,4,2,3,3,2,2,4,4,3,1,5,2,4,3,5,4
2,18,1,4,4,4,1,2,5,4,1,3,5,2,1,3,5,4,1,3,4,4,4,2,4,4,4,3,4
1,20,1,5,4,3,1,4,4,5,2,4,2,5,1,4,3,3,1,5,2,4,4,4,3,4,4,5,4
1,20,4,3,4,3,3,3,4,5,2,3,5,3,2,3,2,3,1,3,4,3,2,4,3,3,4,4,4
2,20,2,3,2,4,2,1,4,3,1,3,4,4,1,3,4,4,3,2,4,4,3,3,3,4,2,2,5
2,19,2,2,5,2,1,4,3,5,2,4,3,4,2,3,2,4,3,3,2,2,4,4,4,5,2,4,3
1,21,2,3,2,3,1,2,4,4,2,3,2,3,1,3,2,3,2,5,3,3,3,4,3,2,2,3,3
2,19,1,4,1,4,1,3,2,4,1,4,2,4,1,4,2,5,1,3,1,1,5,5,5,4,2,3,4
2,18,3,1,2,2,3,4,2,2,3,1,2,4,2,4,2,2,1,3,2,4,2,4,2,3,4,3,4
2,20,1,4,4,4,2,2,4,2,1,2,4,2,4,2,4,1,2,1,2,4,2,3,2,2,4,4,4
1,20,1,4,1,4,2,2,4,5,1,2,2,3,2,3,4,4,1,3,3,4,4,3,4,4,2,4,4
2,20,3,4,4,4,2,2,4,4,3,2,4,2,2,2,2,3,3,4,2,4,3,4,3,4,3,4,2
2,18,1,3,2,3,1,2,4,4,1,2,2,4,2,4,2,3,1,2,4,4,2,3,2,3,2,5,4
1,18,2,4,4,4,1,2,3,4,1,1,1,4,2,2,4,3,1,2,3,3,4,3,2,3,2,3,3
1,19,1,3,5,4,1,3,3,4,1,2,5,3,3,4,3,3,2,1,3,5,5,3,3,4,3,4,5
1,19,1,3,2,5,1,2,4,5,1,3,4,4,2,3,4,5,2,2,3,3,5,3,4,3,2,4,4
1,20,1,4,1,3,2,2,4,3,1,2,3,2,1,4,4,4,3,3,1,4,4,4,2,3,2,2,2
1,24,1,3,1,5,2,2,4,4,1,3,2,3,1,2,3,4,1,2,1,3,5,3,3,3,2,3,4
2,19,2,4,2,4,1,2,3,4,2,3,2,5,1,3,4,4,3,3,2,2,3,3,3,3,2,3,3
2,20,2,4,5,2,1,1,4,2,2,4,2,1,1,4,2,2,1,2,2,4,2,5,2,5,2,2,2
2,21,2,4,4,4,2,1,5,4,2,3,5,4,2,4,5,4,2,3,5,5,4,4,4,4,5,4,5
1,21,2,2,3,5,1,3,5,4,2,1,4,5,2,3,3,2,2,4,1,1,4,4,2,2,1,5,4
1,21,1,3,2,3,2,3,5,4,1,2,4,3,2,3,3,3,2,4,2,3,3,3,3,3,2,2,4
1,20,1,2,3,1,1,4,1,2,1,2,2,1,4,3,4,1,2,4,2,4,1,1,1,2,3,2,4
2,21,2,4,2,2,4,1,4,4,2,2,4,4,2,4,5,4,2,4,2,3,4,5,4,5,4,5,4
2,20,1,3,3,2,2,2,3,4,1,3,4,2,1,3,4,2,3,2,3,3,4,4,2,4,3,2,3
2,20,4,3,1,2,2,2,2,3,3,3,2,1,3,3,1,2,4,4,2,4,2,4,2,5,3,1,3
1,21,1,4,5,2,1,4,5,4,1,4,4,2,1,1,4,4,2,1,2,4,2,4,4,2,2,5,4
1,20,1,3,2,4,1,1,4,5,1,3,3,2,1,2,4,4,2,1,2,4,4,4,4,3,4,2,4
1,21,1,2,4,4,1,1,5,4,4,3,3,4,4,4,4,3,1,4,2,4,3,4,1,4,2,4,4
1,19,1,2,3,2,1,3,3,4,1,2,3,5,2,3,4,4,1,2,2,3,4,4,4,4,3,4,3
2,20,1,4,3,4,1,1,3,5,1,3,1,1,4,3,3,2,1,2,1,4,3,3,1,4,1,1,3
1,20,1,3,4,2,1,4,3,3,1,4,2,2,2,5,3,2,1,5,2,3,2,4,2,4,2,4,2
1,21,2,2,5,4,1,2,4,5,3,3,4,4,2,2,2,2,3,2,3,4,3,4,2,3,2,5,4
1,20,1,3,5,2,3,4,5,3,1,3,3,3,3,4,2,2,4,4,2,4,1,3,2,4,3,4,3
1,19,3,4,2,2,3,4,2,2,1,4,2,3,2,2,3,2,3,4,2,3,2,4,3,4,3,3,3
2,18,5,3,1,5,5,1,5,4,5,2,2,1,2,1,5,1,3,1,2,4,5,4,1,3,3,1,4
1,20,2,3,4,3,2,4,2,2,1,3,4,1,2,2,2,2,3,4,1,4,5,4,2,4,2,2,4
2,19,1,2,2,4,2,1,4,4,1,2,2,3,2,4,4,2,2,2,2,3,3,3,3,2,2,4,3
