Subject,Condition,User ID,ManipulationText,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FD,SD,UP,FW,TFAD1_3,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,Q37_3,1aAns,T1a_3,1bAns,T1b_3,1cAns,T1c_3,2aAns,T2a_3,2bAns,T2b_3,2cAns,T2c_3,3aAns,T3a_3,3bAns,T3b_3,3cAns,T3c_3,4aAns,T4a_3,4bAns,T4b_3,4cAns,T4c_3,5aAns,T5a_3,5bAns,T5b_3,5cAns,T5c_3,6aAns,T6a_3,6bAns,T6b_3,6cAns,T6c_3,7aAns,T7a_3,7bAns,T7b_3,7cAns,T7c_3,8aAns,T8a_3,8bAns,T8b_3,8cAns,T8c_3,9aAns,T9a_3,9bAns,T9b_3,9cAns,T9c_3,10aAns,T10a_3,10bAns,T10b_3,10cAns,T10c_3,11aAns,T11a_3,11bAns,T11b_3,11cAns,T11c_3,12aAns,T12a_3,12bAns,T12b_3,12cAns,T12c_3,13aAns,T13a_3,13bAns,T13b_3,13cAns,T13c_3,14aAns,T14a_3,14bAns,T14b_3,14cAns,T14c_3,15aAns,T15a_3,15bAns,T15b_3,15cAns,T15c_3,16aAns,T16a_3,16bAns,T16b_3,16cAns,T16c_3,17aAns,T17a_3,17bAns,T17b_3,17cAns,T17c_3,18aAns,T18a_3,18bAns,T18b_3,18cAns,T18c_3,19aAns,T19a_3,19bAns,T19b_3,19cAns,T19c_3,20aAns,T20a_3,20bAns,T20b_3,20cAns,T20c_3,Purpose,Environ,Monitor,Monitor_TEXT,Browser,Browser_TEXT,Gender,Age,Edu,L1,Country,Comments
,"1=AFW, 2=Control",UserID,Timing-Page Submit,"For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-1. I believe that the future has already been determined by fate.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-2. People¡¯s biological makeup determines their talents and personality.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-3. Chance events seem to be the major cause of human history.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-4. People have complete control over the decisions they make.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-5. No matter how hard you try, you can¡¯t change your destiny.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-6. Psychologists and psychiatrists will eventually figure out all human behavior.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-7. No one can predict what will happen in this world.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-8. People must take full responsibility for any bad choices they make.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-9. Fate already has a plan for everyone.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-10. Your genes determine your future.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-11. Life seems unpredictable - just like throwing dice or flipping a coin.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-12. People can overcome any obstacles if they truly want to.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-13. Whatever will be, will be ¨C there¡¯s not much you can do about it.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-14. Science has shown how your past environment created your current intelligence and personality.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-15. People are unpredictable.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-16. Criminals are totally responsible for the bad things they do.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-17. Whether people like it or not, mysterious forces seem to move their lives.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-18. As with other animals, human behavior always follows the laws of nature.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-19. Life is hard to predict because it is almost totally random.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-20. Luck plays a big role in people¡¯s lives.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-21. People have complete free will.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-22. Parents' character will determine the character of their children.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-23. People are always at fault for their bad behavior.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-24. Childhood environment will determine your success as an adult.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-25. What happens to people is a matter of chance.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-26. Strength of mind can always overcome the body's desires.","For each statement below, choose a number from 1 to 5 to indicate how much you agree or disagree.-27. People¡¯s futures cannot be predicted.",,,,,Timing-Page Submit,"Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  interested</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  distressed</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  excited</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  upset</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  strong</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  guilty</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  scared</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  hostile</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  enthusiastic</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  proud</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  irritable</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  alert</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  ashamed</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  inspired</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  nervous</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  determined</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  attentive</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  jittery</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  active</div>","Below you see a list with a number of words that describe different feelings and emotions. Read each...-<div style=""margin-left: 320px	> /  afraid</div>",Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,Answer:,Timing-Page Submit, Answer:,Timing-Page Submit,Answer:,Timing-Page Submit,purpose,environment,Monitor,Monitor-TEXT,Which browser did you use to fill out this survey?,Which browser did you use to fill out this survey?-TEXT,Gender,Age,Education,L1,Country,
1,1,A312BVGKE6BAS5,"69,271",2,2,2,5,2,1,4,5,3,2,2,4,2,2,5,4,3,3,2,3,5,4,5,4,2,5,3,12,18,23,33,"103,082",2,1,1,1,4,2,1,1,1,1,1,2,2,1,1,3,2,2,1,1,"36,235",,0.454,,,9,"9,059",,0.493,,,3,"16,964",,0.305,,,10,"5,905",,0.283,,,10,"6,883",,0.215,,,-4,15.41,,0.269,,,43,"29,853",,0.209,,,7,"9,679",,0.284,,,30,"10,054",,0.222,,,27,"8,616",,0.328,,,-11,"20,454",,0.351,,,41,"17,548",,0.407,,,-3,"10,358",,0.26,,,13,"7,802",,0.258,,,-6,"9,647",,0.333,,,-11,9.98,,0.291,,,-34,"10,528",,0.226,,,42,"16,519",,0.266,,,32,"8,517",,"1,298",,,3,"8,827",,"1,423",,,34,"9,461",willingness to cheat,1,2,,2,,1,25,4,English,USA,
2,1,A1MAVSDXLI5TR6,"260,328",1,3,5,4,1,1,5,5,1,3,3,2,4,4,4,5,1,3,4,3,5,3,4,4,2,4,4,8,21,30,29,"125,145",4,1,2,1,3,1,1,1,3,3,1,3,1,2,1,3,4,1,3,1,"53,945",,0.456,,,9,"28,511",,0.779,,,13,"64,997",,"10,002",10,"1,768",,,,0.517,,,10,"16,331",,1.1,,,6,"18,099",,0.916,,,33,"28,313",,0.324,,,9,"77,288",,0.395,,,30,"30,097",,0.43,,,27,"16,715",,0.328,,,11,"24,536",,0.506,,,41,"24,832",,"2,002",9,"22,431",,,,0.617,,,23,22.87,,0.606,,,-6,98.99,,"2,002",-7,"11,475",,,,"1,397",,,-24,"3,457",,0.935,,,42,"23,816",,1.87,32,"10,478",,,,"1,522",,,3,"37,314",,"2,002",34,"5,433",,,whether you press the space bar,1,2,,4,,1,24,4,English,US,
3,1,A2X73TD26S1KYI ,"276,922",4,4,5,4,2,2,5,4,2,2,4,4,3,3,4,4,2,2,2,3,4,4,4,4,2,3,4,13,21,29,27,"158,437",3,2,1,1,3,1,1,1,3,3,1,3,1,3,2,4,3,2,1,1,"73,813",,0.312,,,9,"12,235",,0.406,,,13,"46,781",,0.562,,,10,"12,094",,0.609,,,10,"13,594",,0.438,,,6,"13,421",,0.391,,,43,"22,875",,0.625,,,9,"12,844",,0.453,,,30,"17,453",,0.407,,,27,"13,563",,0.609,,,-11,"25,281",,0.407,,,41,"15,359",,0.359,,,9,"12,562",,0.359,,,13,"16,234",,0.547,,,-6,13.89,,"1,765",,,-7,"18,906",,"1,844",-34,"30,438",,,,0.688,,,42,"19,515",,0.375,,,32,"12,781",,0.688,,,-23,"15,516",,0.406,,,44,"21,343"," beliefs of a person regarding a soul and beliefs on whether our destiny is predetermined, or maybe math skills",1,1,,1,,2,52,6,english,usa,
4,1,ACKM3KC4SGQ0I,"303,331",1,1,1,3,1,5,5,5,1,1,3,5,1,5,3,4,1,5,2,1,3,3,4,5,2,5,5,5,25,22,29,"216,653",5,1,3,1,3,1,1,1,3,4,2,5,1,4,1,5,5,1,3,1,"68,772",,0.645,,,9,19.52,,"2,955",,,-5,"34,375",,2.17,,,10,13.36,,0.633,,,10,"18,521",,"1,106",,,6,"12,214",,"1,635",,,43,"26,857",,"1,061",,,9,"19,641",,0.743,,,30,"17,037",,"1,203",,,27,"15,757",,0.989,,,-11,"23,313",,0.429,,,41,"20,081",,0.918,,,9,"22,302",,0.516,,,13,"14,938",,0.473,,,-6,"23,415",,0.495,,,-7,"16,519",,0.365,,,-34,"20,586",,0.416,,,42,"16,142",,0.437,,,32,"21,631",,0.376,,,3,"19,988",,0.414,,,34,20.33,I'm really not sure about this.  My guess is that it has something to do with the unconsious calculations going on in the brain.,1,2,,2,,1,30,6,English,Unites States of America,
5,1,A1GH8C4AAIHDQZ,"402,772",2,5,5,4,1,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,14,32,40,33,"158,766",4,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,"90,604",,0.983,,,9,"55,603",,0.684,,,3,"31,656",,0.746,,,10,"29,278",,0.764,,,10,"33,256",,0.573,,,6,"26,442",,0.501,,,43,31.78,,0.428,,,9,"35,097",,0.445,,,30,"36,984",,0.415,,,27,"29,757",,0.442,,,-11,"30,771",,0.724,,,41,"30,191",,0.57,,,9,"27,956",,0.651,,,13,"31,811",,0.451,,,-6,"31,726",,0.409,,,-7,"31,011",,0.605,,,-34,"32,668",,0.518,,,42,"33,353",,0.573,,,32,"30,972",,0.588,,,3,"35,214",,0.639,,,34,"31,578",logic,1,1,,2,,2,63,5,english,united states,
6,1,A3UE7S9TWMU9FH,"272,553",4,4,2,4,2,1,4,5,4,3,4,3,4,4,4,5,4,3,2,2,2,5,5,4,2,4,3,18,24,23,28,"171,111",4,2,1,2,3,1,1,1,1,2,2,5,1,1,1,3,5,1,5,1,"86,785",,"1,829",,,9,"33,122",,"1,021",,,3,"153,741",,0.551,,,10,"18,139",,0.468,,,10,"83,794",,0.439,,,6,62.57,,0.376,,,43,"58,465",,"10,004",9,"7,058",,,,"4,483",,,30,"36,813",,0.554,,,27,"18,483",,0.793,,,-9,"158,392",,1.09,,,41,"19,132",,"1,389",,,9,"47,345",,"2,003",13,"3,539",,,,"1,162",,,-8,"20,347",,"1,278",,,-21,"21,063",,0.687,,,-18,"11,437",,0.416,,,42,"13,435",,0.88,,,32,"16,134",,0.455,,,3,"20,407",,0.435,,,34,"16,292", how people think and multi task,1,2,,4,,2,28,6,english,usa,
7,1,A3FAY7229RK2XX,"88,834",4,2,4,4,2,2,4,4,4,2,4,4,2,3,4,4,3,4,2,2,2,3,2,4,2,4,2,15,20,24,24,"99,881",4,1,2,1,1,1,1,1,2,1,1,4,1,1,1,3,4,1,2,1,"48,343",,0.44,,,9,"19,943",,0.451,,,3,"23,877",,0.407,,,10,"12,773",,0.385,,,10,"12,731",,0.447,,,6,"16,777",,0.401,,,43,"35,959",,0.448,,,9,"14,513",,0.45,,,30,"20,359",,0.379,,,27,"36,479",,0.375,,,-11,"18,892",,0.381,,,41,"15,184",,0.392,,,9,"17,253",,0.386,,,13,"9,653",,0.367,,,-6,"16,497",,0.37,,,-7,"15,828",,0.38,,,-34,"29,992",,0.385,,,42,"10,446",,0.376,,,32,"11,395",,0.422,,,3,"14,499",,0.401,,,34,"14,054",See if people's moods impact how much they want to cheat or not if given the option,1,2,,2,,1,22,4,English,United States,
8,1,A2M5VW97GIYLHB,"178,697",1,3,3,4,1,2,3,4,1,1,2,3,1,4,2,4,1,2,2,1,4,2,5,3,2,3,2,5,17,17,27,"133,038",4,1,1,1,2,1,1,1,2,2,1,3,1,2,1,2,3,1,3,1,"53,462",,0.397,,,9,"64,314",,"10,002",9,90.63,,,,"1,533",,,3,"25,406",,"10,001",10,"51,585",,,,"3,794",,,6,"16,126",,"1,504",,,43,"18,056",,0.565,,,9,"15,113",,"1,717",,,30,12.9,,"5,557",,,27,"26,164",,0.461,,,-11,"13,014",,0.4,,,41,"17,094",,"1,363",,,9,"17,857",,0.507,,,13,"12,058",,0.642,,,-6,"19,673",,"1,242",,,-7,"15,421",,"1,337",,,-34,"16,194",,0.845,,,42,"14,204",,0.613,,,32,"24,309",,0.422,,,3,20.62,,0.458,,,34,"17,463","I have no clue, honesty?",1,2,,4,,2,23,4,english,USA,
9,1,A1FZJ3S9CN8Z7T,"208,025",3,2,3,4,4,2,3,3,3,4,4,2,3,3,3,2,2,3,4,4,3,3,4,2,3,3,3,15,19,27,21,59.87,2,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,4,1,2,1,"40,538",,"10,001",9,"35,297",,,,"10,005",3,"4,452",,,,"10,002",10,"3,266",,,,"10,003",10,"3,712",,,,"10,005",6,"2,535",,,,"10,001",43,"1,808",,,,"10,001",9,1.34,,,,"10,001",30,"2,385",,,,"10,004",27,"7,368",,,,"10,004",-11,"15,553",,,,0.503,,,41,"33,778",,0.99,,,9,"25,811",,0.293,,,13,"31,608",,"2,002",-6,"5,075",,,,0.398,,,-7,"38,865",,0.889,,,-34,"31,698",,0.385,,,42,"24,243",,"1,869",32,"2,262",,,,0.474,,,3,"26,158",,0.733,,,34,"27,311",To determine subject's thoughts about religion based on a quoted document.,1,2,,4,,1,22,4,English,United States,
